REF_AREA,Country,Measure,UNIT_MEASURE,Unit of measure,Age,Sex,Education,Domain,Year,OBS_VALUE
POL,Poland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,14.73480148
IRL,Ireland,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,9.448791653
CAN,Canada,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,7.584441588
LTU,Lithuania,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,24.54771123
PRT,Portugal,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,21.13433659
DEU,Germany,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,12.1174354
FIN,Finland,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,7.436288735
COL,Colombia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,17.16035807
FRA,France,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,11.93164337
LVA,Latvia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,15.71255816
BEL,Belgium,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,10.24093775
LVA,Latvia,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,18.58037005
AUS,Australia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,12.47375375
COL,Colombia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,9.55140046
NZL,New Zealand,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,13.69985745
BEL,Belgium,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,11.88511798
MEX,Mexico,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,7.193907011
NLD,Netherlands,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,8.503953264
ITA,Italy,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,14.24649565
POL,Poland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,18.18231484
NZL,New Zealand,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,11.13157802
PRT,Portugal,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,11.33074117
SWE,Sweden,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,6.601464091
IRL,Ireland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,6.665603913
NLD,Netherlands,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,10.11496449
EST,Estonia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,18.53143823
FIN,Finland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,6.059509451
NLD,Netherlands,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,6.025786474
HUN,Hungary,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,19.36929313
SWE,Sweden,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,7.570531028
BEL,Belgium,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,11.96050711
COL,Colombia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,11.49127705
FIN,Finland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,8.711986426
ISL,Iceland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,7.717457638
KOR,Korea,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,16.92399895
NOR,Norway,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,5.349649642
DNK,Denmark,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,7.105543323
ESP,Spain,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,12.94039197
USA,United States,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,10.20318524
DEU,Germany,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,9.885221878
CHL,Chile,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,16.95152223
FIN,Finland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,5.512545484
JPN,Japan,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,7.996262045
CAN,Canada,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,8.523923936
CAN,Canada,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,11.90894729
GBR,United Kingdom,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,12.29615386
USA,United States,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,11.45445089
AUT,Austria,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,7.128014987
BEL,Belgium,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,10.48094893
CHL,Chile,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,8.856679215
DEU,Germany,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,12.82061905
CAN,Canada,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,9.760994419
NOR,Norway,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,5.623272381
NZL,New Zealand,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,6.353582332
ESP,Spain,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,7.449688294
FRA,France,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,18.12323656
CRI,Costa Rica,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,7.008215527
IRL,Ireland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,6.275459505
JPN,Japan,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,7.124687288
MEX,Mexico,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,8.651840475
PRT,Portugal,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,23.76864211
AUS,Australia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,9.815152486
AUS,Australia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,11.34406292
USA,United States,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,9.677483893
AUT,Austria,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,8.013058965
ISL,Iceland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,6.572066209
ITA,Italy,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,18.2691092
DNK,Denmark,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,7.004488301
NLD,Netherlands,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,5.527694451
ESP,Spain,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,16.56899707
HUN,Hungary,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,20.59082188
EST,Estonia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,18.83992271
ISR,Israel,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,29.16290295
KOR,Korea,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,15.94968284
ITA,Italy,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,15.18697045
EST,Estonia,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,18.58887838
DEU,Germany,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,13.57591325
LTU,Lithuania,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,33.08943999
NLD,Netherlands,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,17.70892157
SWE,Sweden,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,9.309351286
COL,Colombia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,14.48364365
DEU,Germany,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,10.93014799
ISL,Iceland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,7.431289048
ISR,Israel,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,18.80250573
LUX,Luxembourg,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,12.85969791
COL,Colombia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,15.33740983
COL,Colombia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,16.68103838
ISR,Israel,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,19.27958008
POL,Poland,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,13.61923419
LTU,Lithuania,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,17.72883964
JPN,Japan,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,6.54470546
PRT,Portugal,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,17.33437937
FIN,Finland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,6.508463535
IRL,Ireland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,7.628530626
KOR,Korea,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,19.87918608
NLD,Netherlands,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,11.1712043
NOR,Norway,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,8.591639587
CRI,Costa Rica,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,5.270318673
ESP,Spain,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,10.15037681
TUR,Türkiye,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,24.30809154
CAN,Canada,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,9.178487486
NZL,New Zealand,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,8.378841177
TUR,Türkiye,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,18.70377469
COL,Colombia,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,13.54839362
EST,Estonia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,19.43037131
LUX,Luxembourg,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,13.60018457
LUX,Luxembourg,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,9.654924675
LUX,Luxembourg,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2008,10.98205726
BEL,Belgium,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2008,10.92460112
JPN,Japan,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,8.993070717
POL,Poland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,16.62341336
GBR,United Kingdom,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,13.2892724
POL,Poland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2008,16.79735299
PRT,Portugal,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2008,18.01419002
LVA,Latvia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,15.34478646
MEX,Mexico,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,8.49827425
DNK,Denmark,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,8.117027262
ISL,Iceland,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2008,7.485077078
KOR,Korea,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2008,11.95923078
AUT,Austria,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2008,8.4075764
CHL,Chile,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2008,19.64777334
FRA,France,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2008,12.58217346
CRI,Costa Rica,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2007,9.377230893
EST,Estonia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2007,12.8892883
KOR,Korea,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2007,15.38019734
DNK,Denmark,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2007,7.681817581
GRC,Greece,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2007,18.01028119
HUN,Hungary,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,11.07057914
SWE,Sweden,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2007,6.4084604
EST,Estonia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2007,14.25151664
CZE,Czechia,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2007,17.00582082
CHL,Chile,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2007,18.64562346
ISR,Israel,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2007,21.24075952
TUR,Türkiye,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2007,23.87987419
GBR,United Kingdom,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2007,11.16135853
AUS,Australia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,11.30433113
CZE,Czechia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2007,17.02761617
DNK,Denmark,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2007,13.12189388
GBR,United Kingdom,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2007,14.77337031
TUR,Türkiye,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,21.58638366
ESP,Spain,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2007,14.14106823
LVA,Latvia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2007,13.48967082
NZL,New Zealand,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,9.011048388
CZE,Czechia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2007,18.97269712
LTU,Lithuania,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2007,20.02306685
KOR,Korea,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2007,17.24914566
JPN,Japan,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2007,9.439165577
MEX,Mexico,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2007,7.222575103
USA,United States,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,10.47126067
CHL,Chile,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,12.20111935
HUN,Hungary,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2007,17.25512611
MEX,Mexico,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2007,12.14129024
NZL,New Zealand,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2007,12.41448692
AUS,Australia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2007,14.14581163
BEL,Belgium,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,Total,Subjective well-being,2007,13.2180299
COL,Colombia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2007,15.79229675
GBR,United Kingdom,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2007,10.17113053
HUN,Hungary,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Tertiary education,Subjective well-being,2007,10.67474363
JPN,Japan,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,7.16220703
USA,United States,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2007,9.643149787
MEX,Mexico,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2007,8.844234581
ITA,Italy,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2007,17.47355481
KOR,Korea,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Secondary education,Subjective well-being,2007,18.18788902
AUS,Australia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,Total,Subjective well-being,2007,10.18795861
CRI,Costa Rica,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,Primary education,Subjective well-being,2007,10.2073851
EST,Estonia,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,9.947764095
SWE,Sweden,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,Total,Subjective well-being,2007,5.623982636
FRA,France,Negative affect balance,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,Total,Subjective well-being,2007,13.12361163
CRI,Costa Rica,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,Total,Subjective well-being,2007,8.428060441
LTU,Lithuania,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,Total,Subjective well-being,2007,21.15893834
